Address,Tokens
0x538a18aa30bd88668f8fafdcd1843e03b0932569,974.724029502612
0xd79359296d5a29d92cbdb7c68ec89d67c2c6b23b,10
0x7e9fb2730c3e079f80be9e91dfb24412f1d2ecdb,10
0xdfa03f2cb9430496bdbbe78eb5bd2dc2cdcb3f94,10
0x4bcc30fbafcd97b31c926266129e30942cd2303e,3289.34846119789
0x7e7c525905eb388a24da0572cb7a8dee70371d6e,32162.7151714844
0x261495d4994f40705b842377ffb6589cada10fce,17.9068139039715
0xf497753da71382f98e7282f45cd40fde62667c9f,13300.1429182451
0xb7c4b80dcd31a0f50588353051caeda5a1d92caa,34.0150412468465
0xf8992a1f4e302460bd49a1646ee315d810235212,2837.20461385717
0xb1675304d359222961d043dc1e6d7a741bcee647,10
0xa3d22e679ee90a4b4716a85a816d9186d1afdad5,10
0x469f02ffc80668b0b51f0792745653eb30ada922,47.2321520284361
0xd5c196b5b67e624738d85ab5a98534e68fd2c88e,128.174321024985
0xa33d4cde3660a11a57b350573989b06a7a29e5dc,18.1533386739284
0x0337922dd51b417b26255357cea209b5cda47f7a,10
0x83ea1d4e86da9a511115ed3aa35b7a7dcefa7701,10
0x0b913df30033535d3b2476d0e478e809e750f596,10
0x7b001544927176a6d6f886259a6e3e5c79f09409,125.302185618234
0x6fb1982c0fb8e96e9bfcf02f50a771a1e95a1b05,16.1805696804056
0x979004a5f8e890265a118be2835012816afa3bb9,10
0xbee99913495dbc148967773d26db9167cc16a1ef,61.8547085509806
0xb774e7678f3c341b81a926bd5dd58d97585700fc,10
0xeace7d353e4d73b15cff0b07c5d572ac57219cb1,10
0x923bd93ba41668aa1ed4e335cadf81a8c2f26113,2520.4580049509
0xfa2049ac8f12fc423c8d28754da0d7e72ccc7a9c,10
0xce7d4b1604b0d43ff909fceb0b9287bc850ac413,11.6408645612472
0xe1bd6681e42d05c3ad9bcaecc28cc4a1cc73c55f,10
0x82f6e117b2674c74c4eeb5349026b6f06bccb870,10
0x868490398931ffead3c38d6d9af71f4f06d3f4f6,1005.50913148331
0x9dccf3419eb667944b50945a13ef23c864d2a8c0,0
0x989a3a2bbee97d6f4948c564eeb441e6a683af17,26.0763809543703
0xad40d8785437dd4636ac2b4027459d6a0a7322b1,10
0xf15dd85aa96516ad3d7ec56d868bb0be3e18888b,10
0x3eb6910ae247c03ed0801eb11cb8cb98b2023bf8,10
0x76afeb62d2b703a5415df51c905bcce6ce47b46c,10
0x101c72ca967d31df99fb792cac3891dd450d1407,37.11947449216
0x81cc011877154b0ac8079d8a476504686d32c11c,110.504590829395
0x5658c0a446785ef71db407f5e978f2c723aaa91b,10
0x470d235ca1caff614abee02d98ac3aa89a6758bd,478.299635234175
0xcd59518b84a467f90612aff166d678460012b845,10
0xa55580c1c3b8ae41e349bd0a9332729d84c57667,842.825708617594
0x9052054171aca5e7d3a60fce0140a0a955383822,17.8348810595957
0x9078b90f8a3077db3fe2e767ad62049389bfc5ac,10
0x1e696d17e63bca02529ae69743557182a5a7e676,44.1415163213979
0x7a0f25f437124d1be77601d69bb353a3c102988b,10.5368981944101
